time,load_shortfall_3h
2018-01-01 00:00:00,9643.906666666668
2018-01-01 03:00:00,8597.909999999998
2018-01-01 06:00:00,9436.256666666668
2018-01-01 09:00:00,8693.773333333338
2018-01-01 12:00:00,10012.31166666667
2018-01-01 15:00:00,11061.446666666667
2018-01-01 18:00:00,10269.39666666666
2018-01-01 21:00:00,9268.206666666667
2018-01-02 00:00:00,6858.953333333341
2018-01-02 03:00:00,8861.413333333332
2018-01-02 06:00:00,8171.093333333335
2018-01-02 09:00:00,9253.119999999995
2018-01-02 12:00:00,7912.723333333341
2018-01-02 15:00:00,8922.733333333332
2018-01-02 18:00:00,9644.476666666666
2018-01-02 21:00:00,8839.850000000013
2018-01-03 00:00:00,7520.866666666665
2018-01-03 03:00:00,8178.426666666669
2018-01-03 06:00:00,9943.63333333333
2018-01-03 09:00:00,8886.606666666667
2018-01-03 12:00:00,7626.106666666663
2018-01-03 15:00:00,9043.829999999998
2018-01-03 18:00:00,7783.35
2018-01-03 21:00:00,8436.826666666659
2018-01-04 00:00:00,7983.4966666666605
2018-01-04 03:00:00,8525.206666666667
2018-01-04 06:00:00,8304.509999999998
2018-01-04 09:00:00,8186.283333333335
2018-01-04 12:00:00,9065.716666666667
2018-01-04 15:00:00,9487.51333333333
2018-01-04 18:00:00,9065.603333333325
2018-01-04 21:00:00,9652.219999999994
2018-01-05 00:00:00,9716.44333333333
2018-01-05 03:00:00,10076.733333333324
2018-01-05 06:00:00,9356.553333333326
2018-01-05 09:00:00,8161.383333333329
2018-01-05 12:00:00,7526.096666666679
2018-01-05 15:00:00,4870.060000000004
2018-01-05 18:00:00,7761.086666666675
2018-01-05 21:00:00,5951.96666666667
2018-01-06 00:00:00,10808.276666666665
2018-01-06 03:00:00,9298.856666666674
2018-01-06 06:00:00,9517.306666666673
2018-01-06 09:00:00,10000.043333333342
2018-01-06 12:00:00,11033.249999999998
2018-01-06 15:00:00,11293.183333333338
2018-01-06 18:00:00,11230.506666666675
2018-01-06 21:00:00,9414.880000000005
2018-01-07 00:00:00,9364.28666666667
2018-01-07 03:00:00,9676.536666666672
2018-01-07 06:00:00,9951.223333333335
2018-01-07 09:00:00,9175.12
2018-01-07 12:00:00,9584.590000000007
2018-01-07 15:00:00,10722.26333333333
2018-01-07 18:00:00,10469.736666666671
2018-01-07 21:00:00,9842.933333333336
2018-01-08 00:00:00,9137.356666666661
2018-01-08 03:00:00,9859.186666666665
2018-01-08 06:00:00,9951.543333333337
2018-01-08 09:00:00,10356.503333333329
2018-01-08 12:00:00,12690.049999999994
2018-01-08 15:00:00,13774.710000000005
2018-01-08 18:00:00,12610.663333333338
2018-01-08 21:00:00,10462.796666666663
2018-01-09 00:00:00,10744.363333333327
2018-01-09 03:00:00,10130.113333333335
2018-01-09 06:00:00,10867.026666666658
2018-01-09 09:00:00,11707.553333333344
2018-01-09 12:00:00,12097.836666666677
2018-01-09 15:00:00,12890.543333333342
2018-01-09 18:00:00,12024.883333333339
2018-01-09 21:00:00,12904.396666666673
2018-01-10 00:00:00,13213.706666666676
2018-01-10 03:00:00,11888.663333333341
2018-01-10 06:00:00,12076.970000000007
2018-01-10 09:00:00,12678.250000000015
2018-01-10 12:00:00,13482.783333333331
2018-01-10 15:00:00,14138.243333333337
2018-01-10 18:00:00,13585.656666666668
2018-01-10 21:00:00,12465.666666666655
2018-01-11 00:00:00,11919.1
2018-01-11 03:00:00,12481.253333333338
2018-01-11 06:00:00,10958.27666666667
2018-01-11 09:00:00,10529.306666666665
2018-01-11 12:00:00,13387.203333333337
2018-01-11 15:00:00,14040.84666666667
2018-01-11 18:00:00,12562.65333333334
2018-01-11 21:00:00,11985.470000000003
2018-01-12 00:00:00,11443.340000000015
2018-01-12 03:00:00,11742.286666666672
2018-01-12 06:00:00,11350.360000000008
2018-01-12 09:00:00,11761.423333333341
2018-01-12 12:00:00,12365.773333333333
2018-01-12 15:00:00,14711.316666666658
2018-01-12 18:00:00,12196.280000000006
2018-01-12 21:00:00,11598.433333333334
2018-01-13 00:00:00,10021.29333333334
2018-01-13 03:00:00,9858.426666666677
2018-01-13 06:00:00,8964.63333333334
2018-01-13 09:00:00,9784.34333333334
2018-01-13 12:00:00,9468.390000000005
2018-01-13 15:00:00,9368.206666666661
2018-01-13 18:00:00,10524.40666666666
2018-01-13 21:00:00,8460.643333333328
2018-01-14 00:00:00,9411.580000000005
2018-01-14 03:00:00,8859.640000000009
2018-01-14 06:00:00,7974.783333333342
2018-01-14 09:00:00,8346.19666666667
2018-01-14 12:00:00,9514.629999999997
2018-01-14 15:00:00,9803.959999999997
2018-01-14 18:00:00,10214.96333333334
2018-01-14 21:00:00,9834.280000000002
2018-01-15 00:00:00,9205.606666666667
2018-01-15 03:00:00,8667.20666666667
2018-01-15 06:00:00,7119.526666666667
2018-01-15 09:00:00,9341.383333333339
2018-01-15 12:00:00,10365.43
2018-01-15 15:00:00,12582.046666666676
2018-01-15 18:00:00,12036.19666666668
2018-01-15 21:00:00,9406.06666666667
2018-01-16 00:00:00,8414.070000000003
2018-01-16 03:00:00,9517.083333333338
2018-01-16 06:00:00,7607.506666666667
2018-01-16 09:00:00,9075.256666666668
2018-01-16 12:00:00,11864.78666666667
2018-01-16 15:00:00,12385.650000000005
2018-01-16 18:00:00,12274.018333333352
2018-01-16 21:00:00,10776.926666666679
2018-01-17 00:00:00,8709.633333333342
2018-01-17 03:00:00,8292.353333333338
2018-01-17 06:00:00,7997.63
2018-01-17 09:00:00,8903.920000000007
2018-01-17 12:00:00,11704.103333333343
2018-01-17 15:00:00,12289.570000000012
2018-01-17 18:00:00,12244.62666666668
2018-01-17 21:00:00,11983.870000000012
2018-01-18 00:00:00,12942.006666666668
2018-01-18 03:00:00,12275.530000000002
2018-01-18 06:00:00,11824.82666666667
2018-01-18 09:00:00,11920.130000000005
2018-01-18 12:00:00,14274.723333333337
2018-01-18 15:00:00,14278.216666666674
2018-01-18 18:00:00,14358.736666666675
2018-01-18 21:00:00,14872.450000000012
2018-01-19 00:00:00,13672.876666666674
2018-01-19 03:00:00,10039.499999999998
2018-01-19 06:00:00,10370.813333333339
2018-01-19 09:00:00,9587.195000000005
2018-01-19 12:00:00,14356.720000000008
2018-01-19 15:00:00,14946.340000000011
2018-01-19 18:00:00,14176.570000000009
2018-01-19 21:00:00,12538.736666666666
2018-01-20 00:00:00,10675.273333333338
2018-01-20 03:00:00,9204.313333333335
2018-01-20 06:00:00,8688.60333333334
2018-01-20 09:00:00,9451.870000000003
2018-01-20 12:00:00,12592.293333333344
2018-01-20 15:00:00,12643.223333333339
2018-01-20 18:00:00,12637.943333333336
2018-01-20 21:00:00,12793.050000000003
2018-01-21 00:00:00,9626.559999999998
2018-01-21 03:00:00,8580.453333333333
2018-01-21 06:00:00,8878.386666666665
2018-01-21 09:00:00,9325.17666666667
2018-01-21 12:00:00,9328.52333333333
2018-01-21 15:00:00,8882.699999999997
2018-01-21 18:00:00,9129.099999999999
2018-01-21 21:00:00,10763.950000000003
2018-01-22 00:00:00,10903.473333333337
2018-01-22 03:00:00,9119.383333333328
2018-01-22 06:00:00,9032.806666666662
2018-01-22 09:00:00,11078.859999999995
2018-01-22 12:00:00,14254.366666666672
2018-01-22 15:00:00,14529.911666666672
2018-01-22 18:00:00,14142.01000000001
2018-01-22 21:00:00,12331.423333333338
2018-01-23 00:00:00,10116.386666666669
2018-01-23 03:00:00,9919.559999999996
2018-01-23 06:00:00,10570.343333333338
2018-01-23 09:00:00,11439.159999999998
2018-01-23 12:00:00,13354.566666666682
2018-01-23 15:00:00,14163.273333333344
2018-01-23 18:00:00,14023.053333333342
2018-01-23 21:00:00,12599.729999999992
2018-01-24 00:00:00,11389.316666666666
2018-01-24 03:00:00,9686.73666666666
2018-01-24 06:00:00,9368.249999999998
2018-01-24 09:00:00,11825.029999999997
2018-01-24 12:00:00,14119.313333333344
2018-01-24 15:00:00,15036.978333333342
2018-01-24 18:00:00,15450.423333333332
2018-01-24 21:00:00,14756.873333333333
2018-01-25 00:00:00,12087.79
2018-01-25 03:00:00,13474.953333333342
2018-01-25 06:00:00,14724.976666666678
2018-01-25 09:00:00,14353.75
2018-01-25 12:00:00,13950.173333333334
2018-01-25 15:00:00,14422.573333333337
